feature,chrome,firefox,safari,interop,tests
aborting,100.0,100.0,100.0,100.0,13
abortsignal-any,100.0,100.0,100.0,100.0,2
active-view-transition,100.0,100.0,100.0,100.0,3
alternative-style-sheets,100.0,100.0,100.0,100.0,7
animation-composition,100.0,100.0,100.0,100.0,5
aria-attribute-reflection,100.0,100.0,100.0,100.0,1
autocorrect,100.0,100.0,100.0,100.0,1
autofill,100.0,100.0,100.0,100.0,1
b,100.0,100.0,100.0,100.0,2
base64encodedecode,100.0,100.0,100.0,100.0,2
bdo,100.0,100.0,100.0,100.0,4
br,100.0,100.0,100.0,100.0,2
canvas-createconicgradient,100.0,100.0,100.0,100.0,9
canvas-roundrect,100.0,100.0,100.0,100.0,168
cap,100.0,100.0,100.0,100.0,2
cascade-layers,100.0,100.0,100.0,100.0,22
check-visibility,100.0,100.0,100.0,100.0,1
color-contrast,100.0,100.0,100.0,100.0,1
color-gamut,100.0,100.0,100.0,100.0,5
column-pseudo,100.0,100.0,100.0,100.0,1
console,100.0,100.0,100.0,100.0,14
constructed-stylesheets,100.0,100.0,100.0,100.0,14
contain,100.0,100.0,100.0,100.0,14
contain-intrinsic-size,100.0,100.0,100.0,100.0,59
contain-paint,100.0,100.0,100.0,100.0,82
contenteditable-plaintextonly,100.0,100.0,100.0,100.0,1
cookie-enabled,100.0,100.0,100.0,100.0,2
cors,100.0,100.0,100.0,100.0,25
counter-set,100.0,100.0,100.0,100.0,2
crisp-edges,100.0,100.0,100.0,100.0,50
cross-fade,100.0,100.0,100.0,100.0,2
css-escape,100.0,100.0,100.0,100.0,1
cubic-bezier-easing,100.0,100.0,100.0,100.0,1
dataset,100.0,100.0,100.0,100.0,8
default,100.0,100.0,100.0,100.0,1
del,100.0,100.0,100.0,100.0,1
description-list,100.0,100.0,100.0,100.0,3
details-content,100.0,100.0,100.0,100.0,6
details-name,100.0,100.0,100.0,100.0,1
device-queries,100.0,100.0,100.0,100.0,4
